id,__label__swe_Latn,link,text_lang,video_lang
qNJjV-FK0XA,0.9985917806625366,https://youtube.com/watch?v=qNJjV-FK0XA,0.0,0.0
vUfGa-4keEM,0.9984524846076964,https://youtube.com/watch?v=vUfGa-4keEM,1.0,1.0
XTyfx-LnbBI,1.0000100135803225,https://youtube.com/watch?v=XTyfx-LnbBI,1.0,1.0
ziaem-ZnI_I,0.9961827397346495,https://youtube.com/watch?v=ziaem-ZnI_I,1.0,1.0
pDAJH-P11mo,1.0000079870224,https://youtube.com/watch?v=pDAJH-P11mo,1.0,1.0
nYbCo-pRVu0,0.9999735355377196,https://youtube.com/watch?v=nYbCo-pRVu0,0.5,1.0
PSmeg-vn6ho,0.9974191784858704,https://youtube.com/watch?v=PSmeg-vn6ho,0.5,0.0
lBWcH-xluVE,0.991568922996521,https://youtube.com/watch?v=lBWcH-xluVE,1.0,1.0
VESzZ-Etrsg,0.9998594522476196,https://youtube.com/watch?v=VESzZ-Etrsg,1.0,1.0
hkfHf-sUNKw,0.9991793632507324,https://youtube.com/watch?v=hkfHf-sUNKw,1.0,1.0
DJOFb-iabRY,0.9412167072296144,https://youtube.com/watch?v=DJOFb-iabRY,0.0,0.0
TLOvU-dHruk,0.9542954564094543,https://youtube.com/watch?v=TLOvU-dHruk,0.0,0.0
lrNzJ-6LKlA,0.9504619240760804,https://youtube.com/watch?v=lrNzJ-6LKlA,1.0,1.0
HeLnc-oip_E,0.9538089036941528,https://youtube.com/watch?v=HeLnc-oip_E,1.0,1.0
tdUHn-Zexa8,0.952234148979187,https://youtube.com/watch?v=tdUHn-Zexa8,1.0,1.0
sEIqP-wRNk0,0.9511440992355348,https://youtube.com/watch?v=sEIqP-wRNk0,0.0,0.0
pEELj-Jt5HI,0.941762149333954,https://youtube.com/watch?v=pEELj-Jt5HI,0.0,0.0
FUUaP-F0l9I,0.9526371955871582,https://youtube.com/watch?v=FUUaP-F0l9I,1.0,0.0
myaWV-nJLwI,0.9560170769691468,https://youtube.com/watch?v=myaWV-nJLwI,1.0,1.0
WTlLG-nlnvE,0.9551581740379332,https://youtube.com/watch?v=WTlLG-nlnvE,1.0,0.0
ROTau-UIOKY,0.9080798029899596,https://youtube.com/watch?v=ROTau-UIOKY,0.0,0.0
zblWx-L0hdY,0.9061655402183532,https://youtube.com/watch?v=zblWx-L0hdY,0.0,0.0
nVSJA-tdRDM,0.9087378978729248,https://youtube.com/watch?v=nVSJA-tdRDM,0.0,0.0
fyWlZ-RaUfc,0.9064382314682008,https://youtube.com/watch?v=fyWlZ-RaUfc,1.0,1.0
YvGIP-79230,0.90201735496521,https://youtube.com/watch?v=YvGIP-79230,1.0,1.0
DTCYS-RR7V0,0.9061655402183532,https://youtube.com/watch?v=DTCYS-RR7V0,0.0,0.0
TaVFx-Lfffg,0.9089503884315492,https://youtube.com/watch?v=TaVFx-Lfffg,0.0,0.0
pzJiz-dH8PA,0.9006781578063965,https://youtube.com/watch?v=pzJiz-dH8PA,0.0,
