id,__label__dan_Latn,link,text_lang,video_lang
NOiWg-ArBnA,1.0000003576278689,https://youtube.com/watch?v=NOiWg-ArBnA,1.0,1.0
Hxupj-px8_4,0.9997155070304872,https://youtube.com/watch?v=Hxupj-px8_4,0.0,0.0
gknRq-FrdRE,0.9992525577545166,https://youtube.com/watch?v=gknRq-FrdRE,1.0,1.0
bzUxX-UFMps,1.0000091791152954,https://youtube.com/watch?v=bzUxX-UFMps,1.0,1.0
oEoCW-_noFQ,0.9991422295570374,https://youtube.com/watch?v=oEoCW-_noFQ,0.0,0.0
Ozryw-9Rk7Y,0.9997984766960144,https://youtube.com/watch?v=Ozryw-9Rk7Y,1.0,1.0
QVDnG-eaBB0,0.9994502663612366,https://youtube.com/watch?v=QVDnG-eaBB0,1.0,1.0
VwjAO-CUbC8,0.9983978271484376,https://youtube.com/watch?v=VwjAO-CUbC8,1.0,1.0
wBjko-ZqzGI,0.9999157190322876,https://youtube.com/watch?v=wBjko-ZqzGI,1.0,0.0
yxXwK-CkWUs,0.998567521572113,https://youtube.com/watch?v=yxXwK-CkWUs,1.0,1.0
poPrY-wLxYA,0.9421308636665344,https://youtube.com/watch?v=poPrY-wLxYA,0.0,0.0
lSWSH-oUqOQ,0.9533581137657166,https://youtube.com/watch?v=lSWSH-oUqOQ,0.0,0.0
zligo-ypjnY,0.959603488445282,https://youtube.com/watch?v=zligo-ypjnY,1.0,1.0
IXOst-3ODmw,0.9559851288795472,https://youtube.com/watch?v=IXOst-3ODmw,1.0,1.0
ESpMj-nw8iY,0.9588921666145324,https://youtube.com/watch?v=ESpMj-nw8iY,0.0,0.0
qMfdi-xXyQA,0.9466696977615356,https://youtube.com/watch?v=qMfdi-xXyQA,0.0,0.0
JyWDr-n07Ng,0.9563029408454896,https://youtube.com/watch?v=JyWDr-n07Ng,0.0,0.0
xehTj-T6P8E,0.9513286352157592,https://youtube.com/watch?v=xehTj-T6P8E,1.0,0.0
rEqTp-QqgYU,0.9545031785964966,https://youtube.com/watch?v=rEqTp-QqgYU,0.5,
Kwbix-F8Sik,0.8943621516227722,https://youtube.com/watch?v=Kwbix-F8Sik,1.0,
BuKaS-FXSMY,0.8944664001464844,https://youtube.com/watch?v=BuKaS-FXSMY,0.0,0.0
IvnBS-wUD6A,0.9038469195365906,https://youtube.com/watch?v=IvnBS-wUD6A,0.0,0.0
bQPgV-py2Zw,0.9077650904655457,https://youtube.com/watch?v=bQPgV-py2Zw,0.0,0.0
DaRfV-hLmF4,0.8904798626899719,https://youtube.com/watch?v=DaRfV-hLmF4,0.5,
qeGal-EA6ow,0.7977092266082764,https://youtube.com/watch?v=qeGal-EA6ow,1.0,0.0
IVdLD-RTK1Y,0.7918028235435486,https://youtube.com/watch?v=IVdLD-RTK1Y,1.0,
eyyLR-CfI3g,0.7918028235435486,https://youtube.com/watch?v=eyyLR-CfI3g,1.0,
cdkIn-TdlAg,0.7910853028297424,https://youtube.com/watch?v=cdkIn-TdlAg,1.0,0.0
sLgFp-8hE_A,0.7946639657020569,https://youtube.com/watch?v=sLgFp-8hE_A,1.0,0.0
tNnzU-nrHfo,0.7920612096786499,https://youtube.com/watch?v=tNnzU-nrHfo,0.0,
jhOtD-OdNDk,0.7910853028297424,https://youtube.com/watch?v=jhOtD-OdNDk,1.0,0.0
IUJwR-sJGcY,0.8010005354881287,https://youtube.com/watch?v=IUJwR-sJGcY,1.0,0.0
NJOOz-e7i_c,0.7946639657020569,https://youtube.com/watch?v=NJOOz-e7i_c,1.0,0.0
CiCqY-bwlGQ,0.794688880443573,https://youtube.com/watch?v=CiCqY-bwlGQ,0.0,
hdIgU-GO3E0,0.6998607516288757,https://youtube.com/watch?v=hdIgU-GO3E0,1.0,0.0
sjpOx-b0BDo,0.7003094553947449,https://youtube.com/watch?v=sjpOx-b0BDo,1.0,
WeBSp-DKUvA,0.6924111247062683,https://youtube.com/watch?v=WeBSp-DKUvA,0.0,
ZAiCM-dmsyU,0.6939442157745361,https://youtube.com/watch?v=ZAiCM-dmsyU,1.0,0.0
SQJwg-EPdt0,0.7034168243408203,https://youtube.com/watch?v=SQJwg-EPdt0,1.0,
uWFAd-SSEM8,0.7064318656921387,https://youtube.com/watch?v=uWFAd-SSEM8,0.0,0.0
xYMLN-ABV2Y,0.7003094553947449,https://youtube.com/watch?v=xYMLN-ABV2Y,1.0,0.0
DlRfA-Sw-zU,0.7093847393989563,https://youtube.com/watch?v=DlRfA-Sw-zU,0.0,0.0
LuSLY-Xm7kI,0.7003094553947449,https://youtube.com/watch?v=LuSLY-Xm7kI,1.0,0.0
nZfSz-dSuLg,0.7034168243408203,https://youtube.com/watch?v=nZfSz-dSuLg,1.0,0.0
Zduhf-sLGSc,0.5971046090126038,https://youtube.com/watch?v=Zduhf-sLGSc,0.0,0.0
lvjDe-rn-WA,0.5910834670066833,https://youtube.com/watch?v=lvjDe-rn-WA,0.0,
dZuEa-2tVoI,0.6069223284721375,https://youtube.com/watch?v=dZuEa-2tVoI,0.0,0.0
KVMdE-YjCCs,0.5908083915710449,https://youtube.com/watch?v=KVMdE-YjCCs,1.0,1.0
uuIUs-ytobk,0.6024194955825806,https://youtube.com/watch?v=uuIUs-ytobk,1.0,0.0
KWVuu-Z_JrE,0.5931517481803894,https://youtube.com/watch?v=KWVuu-Z_JrE,1.0,0.0
RqdNd-Dbd6s,0.5960399508476257,https://youtube.com/watch?v=RqdNd-Dbd6s,0.0,0.0
QlCYV-hjwn0,0.5997434854507446,https://youtube.com/watch?v=QlCYV-hjwn0,0.0,0.0
hpCxF-Vuy5A,0.60243821144104,https://youtube.com/watch?v=hpCxF-Vuy5A,0.0,0.0
XeDgr-xkJUg,0.5957472920417786,https://youtube.com/watch?v=XeDgr-xkJUg,0.0,0.0
EpdYN-yoELw,0.500432550907135,https://youtube.com/watch?v=EpdYN-yoELw,0.0,0.0
qrIbY-HIiis,0.5008689761161804,https://youtube.com/watch?v=qrIbY-HIiis,0.0,0.0
SorlB-RUgDU,0.497261106967926,https://youtube.com/watch?v=SorlB-RUgDU,1.0,0.0
PqSvE-lfISY,0.5062307119369507,https://youtube.com/watch?v=PqSvE-lfISY,1.0,0.0
WHoKi-8oSrE,0.5011974573135376,https://youtube.com/watch?v=WHoKi-8oSrE,0.0,0.0
XtTCd-0f3tI,0.5077915787696838,https://youtube.com/watch?v=XtTCd-0f3tI,0.0,0.0
kQmce-Jf-ts,0.5014527440071106,https://youtube.com/watch?v=kQmce-Jf-ts,0.0,0.0
sDTMd-XEpaQ,0.49148690700531,https://youtube.com/watch?v=sDTMd-XEpaQ,0.0,0.0
izWVx-iqKn0,0.5046077370643616,https://youtube.com/watch?v=izWVx-iqKn0,0.5,1.0
sPObw-hjiyg,0.5085121393203735,https://youtube.com/watch?v=sPObw-hjiyg,1.0,0.0
ORljz-a1KhY,0.3961882293224334,https://youtube.com/watch?v=ORljz-a1KhY,0.0,0.0
zWmrf-nu4sM,0.4006051123142242,https://youtube.com/watch?v=zWmrf-nu4sM,1.0,0.0
JWWim-WAmcY,0.3976042568683624,https://youtube.com/watch?v=JWWim-WAmcY,0.0,0.0
cvPCf-nCG68,0.3907607197761535,https://youtube.com/watch?v=cvPCf-nCG68,0.0,0.0
jCwQB-94m6o,0.4061353504657745,https://youtube.com/watch?v=jCwQB-94m6o,0.0,0.0
UhHLX-MYIOA,0.4045244753360748,https://youtube.com/watch?v=UhHLX-MYIOA,0.0,0.0
pSZEm-5Ia0A,0.4054827094078064,https://youtube.com/watch?v=pSZEm-5Ia0A,0.0,0.0
