id,__label__hrv_Latn,link,text_lang,video_lang
WnUNQ-7VPaM,0.9999879598617554,https://youtube.com/watch?v=WnUNQ-7VPaM,1,0
dTGVW-FJJi0,0.9956008195877076,https://youtube.com/watch?v=dTGVW-FJJi0,1,0
WZDOx-B3n2k,0.997643232345581,https://youtube.com/watch?v=WZDOx-B3n2k,1,0
RzUwK-19Tq4,0.9999529123306274,https://youtube.com/watch?v=RzUwK-19Tq4,1,1
zuMjw-kMkyk,0.9999669790267944,https://youtube.com/watch?v=zuMjw-kMkyk,1,"0,5"
QnSvr-_wYOk,0.9999874830245972,https://youtube.com/watch?v=QnSvr-_wYOk,1,0
tsNAA-AI64E,0.9988747835159302,https://youtube.com/watch?v=tsNAA-AI64E,1,
YpNRZ-oD1UY,0.9978918433189392,https://youtube.com/watch?v=YpNRZ-oD1UY,1,0
KkNNm-kbxk4,0.9966569542884828,https://youtube.com/watch?v=KkNNm-kbxk4,1,
SkRtj-8VLLk,0.9999818801879884,https://youtube.com/watch?v=SkRtj-8VLLk,1,"0,5"
fJzQe-4nlVg,0.9410017132759094,https://youtube.com/watch?v=fJzQe-4nlVg,"0,5","0,5"
YmhEt-K_wL4,0.945895254611969,https://youtube.com/watch?v=YmhEt-K_wL4,1,0
rrUdt-AZGTM,0.942906618118286,https://youtube.com/watch?v=rrUdt-AZGTM,"0,5",0
zjMQu-23inI,0.947862148284912,https://youtube.com/watch?v=zjMQu-23inI,0,0
hOmiw-EkmXw,0.9572200775146484,https://youtube.com/watch?v=hOmiw-EkmXw,0,0
tAefo-9vkXk,0.957633137702942,https://youtube.com/watch?v=tAefo-9vkXk,1,1
bbSbx-BVnKE,0.9404311180114746,https://youtube.com/watch?v=bbSbx-BVnKE,"0,5","0,5"
hRcai-pQEEM,0.959000825881958,https://youtube.com/watch?v=hRcai-pQEEM,1,1
BLkME-Vj7F0,0.9456616640090942,https://youtube.com/watch?v=BLkME-Vj7F0,"0,5","0,5"
LRyJt-GPlOo,0.9491552114486694,https://youtube.com/watch?v=LRyJt-GPlOo,1,1
EKDXa-q0V9I,0.9066820740699768,https://youtube.com/watch?v=EKDXa-q0V9I,"0,5","0,5"
psUzL-GJOpw,0.8957167267799377,https://youtube.com/watch?v=psUzL-GJOpw,"0,5",0
DkdEI-re5bI,0.902281641960144,https://youtube.com/watch?v=DkdEI-re5bI,0,0
oMkJt-YudyA,0.8953676223754883,https://youtube.com/watch?v=oMkJt-YudyA,"0,5","0,5"
bkhst-UtM_I,0.9056306481361388,https://youtube.com/watch?v=bkhst-UtM_I,"0,5",0
ZPXLv-_7lkI,0.8954007625579834,https://youtube.com/watch?v=ZPXLv-_7lkI,0,0
wrpxq-e0bxw,0.9085258841514589,https://youtube.com/watch?v=wrpxq-e0bxw,1,1
TsmES-0Kflk,0.8943617343902588,https://youtube.com/watch?v=TsmES-0Kflk,0,0
AdTap-tHTxk,0.8976365327835083,https://youtube.com/watch?v=AdTap-tHTxk,0,
uJPsD-wbkEk,0.8956801295280457,https://youtube.com/watch?v=uJPsD-wbkEk,1,1
uosWO-JShiU,0.7927985191345215,https://youtube.com/watch?v=uosWO-JShiU,"0,5","0,5"
Qtopz-Nhebw,0.8039169907569885,https://youtube.com/watch?v=Qtopz-Nhebw,1,1
rSsVB-fbOfE,0.805915117263794,https://youtube.com/watch?v=rSsVB-fbOfE,1,1
dOaVS-_k-eg,0.8098000288009644,https://youtube.com/watch?v=dOaVS-_k-eg,0,0
Eyajx-G058A,0.8039790987968445,https://youtube.com/watch?v=Eyajx-G058A,0,0
qbGNc-IyqGA,0.7944203019142151,https://youtube.com/watch?v=qbGNc-IyqGA,1,1
PSLLc-zxenE,0.8068539500236511,https://youtube.com/watch?v=PSLLc-zxenE,1,1
wRRLv-KdOh0,0.8079530000686646,https://youtube.com/watch?v=wRRLv-KdOh0,"0,5","0,5"
vHFCY-wInv0,0.7952978014945984,https://youtube.com/watch?v=vHFCY-wInv0,"0,5","0,5"
MAvhA-g1vKQ,0.794040322303772,https://youtube.com/watch?v=MAvhA-g1vKQ,1,1
Mfeuj-iDEIc,0.692728579044342,https://youtube.com/watch?v=Mfeuj-iDEIc,0,0
KPleh-kkNnY,0.7095008492469788,https://youtube.com/watch?v=KPleh-kkNnY,"0,5",
zYpxg-TzID4,0.7020372152328491,https://youtube.com/watch?v=zYpxg-TzID4,0,0
XRJma-q3yRk,0.6910567879676819,https://youtube.com/watch?v=XRJma-q3yRk,0,0
OyCBT-v4GVA,0.706764817237854,https://youtube.com/watch?v=OyCBT-v4GVA,"0,5","0,5"
oPSUa-4pGwg,0.7025725245475769,https://youtube.com/watch?v=oPSUa-4pGwg,"0,5","0,5"
