id,__label__fin_Latn,link,text_lang,video_lang
ZpEYe-0cgn4,0.9999929666519164,https://youtube.com/watch?v=ZpEYe-0cgn4,1,1.0
svBgg-ZjQy4,0.9985394477844238,https://youtube.com/watch?v=svBgg-ZjQy4,1,1.0
sWRNx-w5tj8,0.9988161325454712,https://youtube.com/watch?v=sWRNx-w5tj8,1,1.0
kHxXK-dVDUc,0.9984352588653564,https://youtube.com/watch?v=kHxXK-dVDUc,0,0.0
Pqhiu-64ktI,0.998060941696167,https://youtube.com/watch?v=Pqhiu-64ktI,1,1.0
cdWkn-6gEZ8,0.999785840511322,https://youtube.com/watch?v=cdWkn-6gEZ8,1,1.0
unoIL-oxHkE,0.9999127388000488,https://youtube.com/watch?v=unoIL-oxHkE,0,0.0
LfbNk-nK3yI,0.9999970197677612,https://youtube.com/watch?v=LfbNk-nK3yI,1,1.0
iunAG-_tTRc,0.9987871050834656,https://youtube.com/watch?v=iunAG-_tTRc,1,0.0
dJvLa-_LdSc,0.9992049336433412,https://youtube.com/watch?v=dJvLa-_LdSc,1,1.0
yersv-3Blbw,0.9443792104721068,https://youtube.com/watch?v=yersv-3Blbw,0,0.0
hxLor-zCdHA,0.952911138534546,https://youtube.com/watch?v=hxLor-zCdHA,1,1.0
uAqAO-gf1CI,0.9551494121551514,https://youtube.com/watch?v=uAqAO-gf1CI,1,
MVYmD-VCIVk,0.9495227336883544,https://youtube.com/watch?v=MVYmD-VCIVk,0,
svLrV-GEyeo,0.954972803592682,https://youtube.com/watch?v=svLrV-GEyeo,0,0.0
aJpPF-ItCvo,0.954972803592682,https://youtube.com/watch?v=aJpPF-ItCvo,0,0.0
hzRjN-9XNzY,0.9529489278793336,https://youtube.com/watch?v=hzRjN-9XNzY,1,1.0
qtNTE-7t-b8,0.954972803592682,https://youtube.com/watch?v=qtNTE-7t-b8,0,0.0
WIxuc-Hn14o,0.9507927894592284,https://youtube.com/watch?v=WIxuc-Hn14o,1,1.0
IoVWa-AOvRI,0.959482967853546,https://youtube.com/watch?v=IoVWa-AOvRI,0,0.0
RrbVa-lKeMY,0.8977279663085938,https://youtube.com/watch?v=RrbVa-lKeMY,0,0.0
IkWae-gEC4A,0.8942214250564575,https://youtube.com/watch?v=IkWae-gEC4A,0,0.0
EyyxW-k3394,0.9080308675765992,https://youtube.com/watch?v=EyyxW-k3394,0,0.0
RTCzk-Bfeyw,0.8998609781265259,https://youtube.com/watch?v=RTCzk-Bfeyw,0,0.0
UwJFm-nrh4g,0.8908790349960327,https://youtube.com/watch?v=UwJFm-nrh4g,0,0.0
MBkuK-qdHd4,0.8936476707458496,https://youtube.com/watch?v=MBkuK-qdHd4,0,0.0
MhxqN-xnMs4,0.8001629114151001,https://youtube.com/watch?v=MhxqN-xnMs4,0,
buswI-smSzQ,0.7966175079345703,https://youtube.com/watch?v=buswI-smSzQ,0,0.0
XEAQw-zSoJQ,0.8094005584716797,https://youtube.com/watch?v=XEAQw-zSoJQ,0,0.0
qlCGg-0ZqI8,0.8033737540245056,https://youtube.com/watch?v=qlCGg-0ZqI8,0,0.0
TPrUc--EmYQ,0.7902693152427673,https://youtube.com/watch?v=TPrUc--EmYQ,0,0.0
vgExZ-jw5Sk,0.7952990531921387,https://youtube.com/watch?v=vgExZ-jw5Sk,0,0.0
DvBpP-ac9Do,0.8035574555397034,https://youtube.com/watch?v=DvBpP-ac9Do,0,0.0
OEsXH-e6oDM,0.7090325951576233,https://youtube.com/watch?v=OEsXH-e6oDM,"0,5",0.0
oKQJY-E8-QI,0.6903250217437744,https://youtube.com/watch?v=oKQJY-E8-QI,0,0.0
gqtAA-5GAFc,0.693729043006897,https://youtube.com/watch?v=gqtAA-5GAFc,0,0.0
gHcoi-FBkhQ,0.7083048820495605,https://youtube.com/watch?v=gHcoi-FBkhQ,"0,5",1.0
DXXpN-cqLJw,0.6040011048316956,https://youtube.com/watch?v=DXXpN-cqLJw,0,
GiLgT-F8VGs,0.5957666635513306,https://youtube.com/watch?v=GiLgT-F8VGs,0,0.0
uOnVx-oID2o,0.6073651909828186,https://youtube.com/watch?v=uOnVx-oID2o,0,0.0
QyYoW-wBRto,0.6013533473014832,https://youtube.com/watch?v=QyYoW-wBRto,"0,5",0.0
LAtKK-bkWBc,0.6041160821914673,https://youtube.com/watch?v=LAtKK-bkWBc,0,0.0
ULLhD-DxU-Y,0.5971973538398743,https://youtube.com/watch?v=ULLhD-DxU-Y,0,0.0
ohHaA-9F7iM,0.6091068983078003,https://youtube.com/watch?v=ohHaA-9F7iM,0,
DVqxZ-ElV9Y,0.5926769375801086,https://youtube.com/watch?v=DVqxZ-ElV9Y,0,0.0
