id,text,label_nld,class
1572395705867857921,皆さまRTありがとうございます！,0.0568544566631317,0.0
1572301667827351552,Same here i luv Quillbot's paraphrasing capabilities,0.0459302328526973,0.0
1572384116280266752,おはよー(*^^*)ノ 寒い？,0.0404899194836616,0.0
1572461057440092160,AEON 視察終了。 お腹すいた(›´ω`‹ )(›´ω`‹ ),0.0530624389648437,0.0
1572277945883889664,It's spoopin' time!,0.0504787676036357,0.0
1572267551627055105,Yooooooo,0.0589305646717548,0.0
1572510980478992388,【FANZA同人アダルトCG集ランキング】 50%OFF 2022年9月21日　19位 クズ賢者の日記 vol.1 勇者に恋する僧侶を犯る編 サークル：loopsoft,0.0473889037966728,0.0
1572286732367986702,Tribal Tuesday  #MentalHealthAwareness #MentalHealthMatters #SocialGamingUK !discord,0.0577057935297489,0.0
1572575277942996993,doggystyleeeeマジでフローと発音がスヌープすぎる、すごい。,0.0563041530549526,0.0
1572436548091805698,ガンケル2回8失点って…,0.057476557791233,0.0
1572291428868583425,まわりが輝すぎて影がうすい私ですw 次は目立つように頑張ります 名古屋で〜,0.1083614751696586,0.0
1572598781421694978,#スプラトゥーン3 #Splatoon3 #NintendoSwitch,0.0947632119059562,0.0
1572360650994683904,"Is what, You're mind ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM",0.0980437025427818,0.0
1572332289203531777,Aaaaaand?,0.0940243005752563,0.0
1572598602567909378,aahhhh i love you taeee,0.0980184897780418,0.0
1572431404499374080,#bachelor Brianna,0.0962356850504875,0.0
1572289815042834434,Corrupt kunt,0.0926409065723419,0.5
1572555899914555393,C!crimeboys or c!alliumduo,0.0942209661006927,0.0
1572577678745829377,we go together! aamiin!!,0.0946516171097755,0.0
1572342534659100678,"Word begone counts, remember, is to ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM",0.1061832904815673,0.0
1572596349303939075,Kevin de Bruyne &gt; Pedri man aub,0.1931720823049545,1.0
1572252723357040641,Aaaaah mlk,0.1984448581933975,0.0
1572327809808474112,Yooo check,0.2013667076826095,0.0
1572347419395821569,De abajo,0.2079762071371078,0.0
1572256325832216582,Que bueno bestie,0.2032211869955063,0.0
1572424281438535681,#freejungkook,0.2013303339481353,0.0
1572505228649566214,Wow dat great new. Hope u recover soon,0.1956584453582763,0.0
1572257752898215936,He'd ever student hits middle ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM,0.197650134563446,0.0
1572551242777513984,軽くヤカラ,0.1963937580585479,0.0
1572578515689803777,Great tweet!,0.200219452381134,0.0
1572522010215063555,Diaaaaam,0.3032639920711517,0.0
1572371409510211584,Night is over...,0.3059007525444031,0.0
1572342299270737921,te amo!,0.3043344616889953,0.0
1572481151326879747,"eepy,,",0.3022368252277374,0.0
1572583419506470914,Yugoooo.. let's ok~,0.2907737195491791,0.0
1572322161607741440,"tani spo e marr vesh, u wanna log in twitter apo log off?",0.2914785742759704,0.0
1572304229842448386,ikke ook!,0.3007091879844665,1.0
1572320051197353987,me mameeee,0.2949765920639038,0.0
1572299717199134720,Jedi: Fallen Order?,0.2914781868457794,0.0
1572353912577093636,Demokratie ja?,0.2958734929561615,0.0
1572246773053427713,Sheeshh,0.3961995542049408,0.0
1572452281618145287,"7,600 tweets hello",0.395395427942276,0.0
1572331504449236993,Yes Navin kaise hooooo,0.396436870098114,0.0
1572319151661764615,ella nunca entiende naaa,0.3970737755298614,0.0
