id,text,label_eng,class
1572249120181719040,こちらこそありがとうございます！！,0.0438818782567977,0.0
1572517815307104257,孩子时胖时瘦的,0.046313714236021,0.0
1572476549135319040,Love these the limitation of ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM فوغا فوقا كلوسيت 39P  ستايلي 7FF,0.0432060249149799,0.5
1572299647988924416,【バンドリ！ ガルパ】回レ！雪月花【EXPERT】【フルコンボ】 dailymotion -  #ゲーム実況,0.0563549324870109,0.5
1572531193454948353,bogacta oyle,0.0550325289368629,0.0
1572250771080744961,43 ANOS!,0.0558885335922241,0.0
1572371983635222528,FIFA 19 Download for PC FREE  Full Game [MULTIPLAYER]  via,0.0464262478053569,1.0
1572298968532680704,suite downright annunciation beatup FeelingEver   ك̷و̷د̶ ̸خ̷ص̸م̴   ☭ٱےهےربَـ  ☭ٱےـهـربَـ☭  ايهرب  _______________       KBZ6979,0.0458079650998115,0.5
1572260706137042944,mati,0.0446841940283775,0.0
1572463102662422528,719DC607 :参戦ID 参加者募集！ Lv120 ラー,0.0584953464567661,0.0
1572447195659665410,4781?,0.0959613174200058,0.0
1572427358489161729,冷凍庫じゃだめなの,0.0948047265410423,0.0
1572240797998936067,عباسيه,0.0934410095214843,0.0
1572391318873317376,And no guinea pig,0.101954236626625,1.0
1572361723792982016,私も騙されません、、、！,0.106296107172966,0.0
1572421115477381122,くらりすさんおはす～！,0.1055996716022491,0.0
1572303706464391169,Jujustu Kaisen time,0.1060142666101455,1.0
1572242058731192320,マジレスオタク老人会プチトマト,0.1097134575247764,0.0
1572505462813396993,再販は勝つ,0.0994516909122467,0.0
1572454857554153475,こんちぐー！おおお！見てみるね！,0.103979155421257,0.0
1572358599585800192,White trash,0.206063374876976,1.0
1572330139941490688,黄色大好きマン,0.2062896490097046,0.0
1572374915323678720,Hassana blue face,0.1967848688364029,1.0
1572547141893226496,跪台办都该吊路灯,0.2062079459428787,0.0
1572300784456404993,baguette,0.1978315412998199,1.0
1572553795380576261,想加v,0.2024758458137512,0.0
1572266021045829634,┣¨┣¨┣¨┣¨┣¨┣¨┣¨┣¨┣¨┣¨┣¨┣¨,0.1934860050678253,0.0
1572590340749815809,答えはー,0.2068237066268921,0.0
1572561112025137152,i didn’t say such a thing لان اعرف بيجي عيب زي كذا,0.1933626681566238,0.5
1572345048523763713,みんな、おはようー,0.1930716186761856,0.0
1572397978165579776,Not a Designer? Not a Problem. Meet Visme!      #keepingorganizedinyoursidehustle #socialmedia,0.3026654422283172,1.0
1572549486681137160,寝てください,0.2919415533542633,0.0
1572381663044472833,はりあー,0.3098900020122528,0.0
1572243141222334466,"Workers can offer guidance for improving the work.  ك̷و̷د̶ ̸خ̷ص̸م̴   نمشي   نون   →ا͠ن͠اس͠☭-→ فوغا☭فوقا☭كلوسيت☭-→     , ☭ستاےلے☭ـ _______________         H112    نمشي     NY187    نون     8QX    فوغا",0.2919952571392059,0.5
1572422395297951746,Been assured. me. Choose ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM,0.2995080649852752,0.5
1572475043405504513,Kraken Wallet balances Part 1. For full update see our Discord:  #whale #Kraken,0.3057465255260467,1.0
1572300993441955841,just gotta wait sxdney_fn_on_ttv_yt,0.2997154891490936,1.0
1572411574400454656,"Drink it, say. Strong relationships come ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM",0.3073250353336334,0.5
1572321690763264007,de spotify pls,0.2924906015396118,0.0
1572287771632635907,Amari Cooper Shares Team Mindset Ahead Of Steelers Showdown,0.29051274061203,1.0
1572282328411701261,swaggy,0.3984434902667999,1.0
1572563489172094984,e esse caloooooor,0.4058227837085724,0.0
1572595680778276865,"DOWNLOAD BOOK [PDF] There's No Such Thing as Bad Weather: A Scandinavian Mom's Secrets for Raising Healthy, Resilient, and Confident Kids (from Friluf",0.4055417478084564,1.0
1572325721003139072,k,0.3936224281787872,1.0
1572597031125893120,iPhone,0.4099771380424499,1.0
1572270249688596481,好累……,0.4087985157966614,0.0
1572361685704507393,蘇服,0.39256551861763,0.0
1572595378096316417,ざこ乙,0.4098343551158905,0.0
1572454089447047168,ИСТИНА!!!,0.3951469361782074,0.0
1572367969572847616,"Becomes so. companies, it's ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM",0.4039537310600281,0.5
1572542920921595905,Read before. beg me ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM,0.4902068376541137,0.5
1572250630671966208,Joe Biden Puts Humpty Dumpty To Shame,0.4975920617580414,1.0
1572352350664200192,"Those benefiting from the status quo, resist change. Self-knowledge is the greatest education.  ك̷و̷د̶ ̸خ̷ص̸م̴   نمشي   نون   →ا͠ن͠اس͠☭-→ فوغا☭فوقا☭كلوسيت☭-→     , ☭ستاےلے☭ـ _______________         H112    نمشي     NY187    نون     8QX    فوغا",0.5061553716659546,0.5
1572540797987459072,糸井さんいく？,0.5050377249717712,0.0
1572300990879268865,The Big question...  #Vtuber #VTuberUprising #Vtubers,0.4910400807857513,1.0
1572490973669920770,無限残業編,0.4963433444499969,0.0
1572526488695767041,Word,0.5002285838127136,1.0
1572495440268132353,がこおつ～,0.5033273100852966,0.0
1572542718542499842,Go Duhaime !,0.4974246025085449,1.0
1572307322222907393,Moves,0.4918097853660583,1.0
1572328439356723200,#oppini7gold,0.6077345013618469,1.0
1572513286247292929,bro?,0.5950109958648682,1.0
1572366138239250433,The Craft (1996) Dir. Andrew Fleming,0.6049758195877075,1.0
